,,,,,,,,,,,,,,,,Benchmark  /  Model MLC  /  Scenario  /  Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3d-unet-99,3d-unet-99.9,dlrm-v2-99,,dlrm-v2-99.9,,gptj-99,,gptj-99.9,,llama2-70b-99,,llama2-70b-99.9,,llama2-70b-interactive-99,,llama2-70b-interactive-99.9,,llama3.1-405b,,mixtral-8x7b,,resnet,,retinanet,,rgat,stable-diffusion-xl,
,,,,,,,,,,,,,,,,Offline,Offline,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Offline,Server
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor (click + for details),# of  Processors ,Accelerator (click + for details),# of Accelerators,Availability,Accelerator (click + for details),Host Processor Core Count,Processor (click + for details),Sum of # of  Processors ,Division/Power,,Samples/s,Samples/s,Samples/s,Queries/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Samples/s,Queries/s,Samples/s,Samples/s,Queries/s
,,,,,,,,,,,,,,,Avg. Result at System Name,54.68,54.68,,,,,"21,117.00","21,536.40","21,117.00","21,536.40","34,822.60","33,051.88","34,822.60","33,051.88","34,545.50","19,428.40","34,545.50","19,428.40",,,,,,,"14,893.40","13,588.80",,18.99,16.68
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,2,,2,2
5.0-0022,Dell,available,Dell PowerEdge XE9680 (8x H100-SXM-80GBVMware ESXi 8.0.3),1,Intel Xeon Platinum 8468,2,Virtualized NVIDIA H100-SXM-80GB,8,available,Virtualized NVIDIA H100-SXM-80GB,48,Intel Xeon Platinum 8468,2,Closed ,# of Accelerators,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,,,,,,,,,,,,,,,"51,514.50","50,896.00",,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,2,NVIDIA H100-NVL-94GB,8,available,NVIDIA H100-NVL-94GB,32,INTEL(R) XEON(R) GOLD 6530,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,8,8,8,8,8,8,8,8,,,8,8,,,8,8,8,,
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,
,,,,,,,,,,,,,,,Avg. Result at System Name,44.58,44.58,,,,,"14,769.70","14,846.70","14,769.70","14,846.70","18,084.90","16,848.58","18,084.90","16,848.58","15,553.30","11,041.50","15,553.30","11,041.50",,,"37,713.60","37,934.50",,,"11,106.20","10,234.40","70,313.00",,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,,,2,2,2,,
